(22, 1, 1, 20, 20);א;י;ב;נ;ה;ק;ו;ק;ב;ח;ה;ז;ח;ר;ש;א;א;ש;מ;ה;(22, 1, 1, 1, 1)
(22, 1, 2, 20, 40);מ;ש;ת;א;ל;ו;י;ת;ע;ו;ש;ה;ו;ה;י;ה;נ;א;ד;ע;(22, 1, 2, 1, 21)
(22, 1, 2, 40, 60);ע;י;ש;ו;ת;א;ל;ו;ס;מ;ח;ך;י;ל;א;ק;ע;ז;א;ע;(22, 1, 2, 21, 41)
(22, 1, 3, 20, 80);ו;ט;י;ב;ת;ל;מ;ע;ו;ן;ו;א;י;נ;א;ר;ת;ה;מ;ל;(22, 1, 3, 1, 61)
(22, 1, 3, 40, 100);מ;ו;ב;י;ר;י;ה;י;ו;י;ד;ג;נ;ל;ס;מ;ח;ו;ד;ש;(22, 1, 3, 21, 81)
(22, 1, 4, 14, 120);ל;ו;ה;ר;ו;ת;ג;ו;פ;ת;ן;כ;ל;ע;א;ש;י;ן;ו;ד;(22, 1, 3, 41, 101)
(22, 1, 4, 34, 140);ת;כ;מ;ע;ש;ר;י;כ;ט;פ;ש;מ;ח;צ;נ;ל;א;צ;י;א;(22, 1, 4, 15, 121)
(22, 1, 4, 54, 160);ט;פ;ש;מ;א;צ;י;ן;כ;ל;ע;ק;י;ד;צ;ה;ת;א;ר;י;(22, 1, 4, 35, 141)
(22, 1, 5, 16, 180);ה;ו;ו;ט;י;ב;ה;ו;ם;י;ו;ג;ב;ו;א;ר;ל;ק;ע;מ;(22, 1, 4, 55, 161)
(22, 1, 5, 36, 200);י;מ;י;ב;ל;ע;פ;ל;ע;פ;י;כ;ו;ה;מ;ת;ו;ה;מ;ת;(22, 1, 5, 17, 181)
(22, 1, 6, 4, 220);נ;ה;י;כ;ר;פ;ס;י;י;כ;ו;נ;י;מ;א;ת;א;ל;ם;כ;(22, 1, 5, 37, 201)
(22, 1, 6, 24, 240);מ;ה;י;ו;ג;ה;ם;י;ד;ש;כ;ה;ת;א;ם;י;ק;מ;י;נ;(22, 1, 6, 5, 221)
(22, 1, 6, 44, 260);ר;א;י;ב;ח;ר;מ;ל;ך;ל;ו;ה;ה;ר;ה;מ;נ;ה;ו;ר;(22, 1, 6, 25, 241)
(22, 1, 7, 5, 280);נ;ו;ם;י;א;ו;ל;א;ל;ת;ו;נ;כ;ש;מ;ת;ש;ר;ל;ץ;(22, 1, 6, 45, 261)
(22, 1, 7, 25, 300);ו;ת;א;ש;ו;ו;ט;פ;ש;מ;ו;נ;מ;מ;א;ו;ה;א;ר;ו;(22, 1, 7, 6, 281)
(22, 1, 8, 17, 320);ח;ו;ו;י;ס;ו;ס;ם;י;ר;מ;נ;מ;ו;ל;ק;ו;א;צ;י;(22, 1, 7, 26, 301)
(22, 1, 8, 37, 340);ו;ו;י;ש;ר;פ;ו;ש;פ;ו;ב;ר;ע;י;ב;א;ז;מ;ו;ד;(22, 1, 8, 18, 321)
(22, 1, 8, 57, 360);נ;כ;ו;פ;ע;י;ו;א;ב;י;ק;ו;ח;ר;מ;ו;י;ש;ר;פ;(22, 1, 8, 38, 341)
(22, 1, 9, 11, 380);א;ו;ב;י;ס;מ;ח;ל;ה;ל;כ;ל;ו;כ;א;ל;ש;ח;ר;ש;(22, 1, 8, 58, 361)
(22, 1, 9, 31, 400);כ;ף;ס;א;י;ו;ה;מ;י;ד;ק;ם;ה;י;נ;פ;ת;מ;ג;מ;(22, 1, 9, 12, 381)
(22, 1, 10, 14, 420);ל;ק;ת;י;ם;י;כ;ל;מ;ב;א;ו;ה;ו;י;ב;ש;ל;ו;ח;(22, 1, 9, 32, 401)
(22, 1, 10, 34, 440);מ;ל;כ;ל;א;ו;ה;ו;ל;ק;ח;ש;מ;ם;י;נ;ז;ר;ו;ס;(22, 1, 10, 15, 421)
(22, 1, 10, 54, 460);ד;כ;ל;י;ו;ר;פ;ע;ר;ב;צ;י;ו;ק;ח;ש;י;ר;צ;ב;(22, 1, 10, 35, 441)
(22, 1, 11, 19, 480);ו;ז;ם;ש;א;ו;ר;ב;ע;י;ו;ח;ו;ר;ף;ל;ח;ז;א;ה;(22, 1, 10, 55, 461)
(22, 1, 12, 12, 500);י;ם;ד;ק;מ;ה;ת;א;א;ו;ל;ה;ו;ה;ל;א;ל;ו;ח;כ;(22, 1, 11, 20, 481)
(22, 1, 12, 32, 520);ו;ה;י;ת;ו;מ;נ;א;ל;י;ש;ד;ק;י;ה;ל;א;ה;ו;ה;(22, 1, 12, 13, 501)
(22, 1, 12, 52, 540);ח;י;כ;ו;ה;ל;ר;ו;צ;ו;ו;ת;מ;ש;ט;פ;ש;מ;ל;ה;(22, 1, 12, 33, 521)
(22, 1, 13, 15, 560);ר;ת;ו;א;ר;מ;ם;י;נ;י;ע;ר;ו;ה;ט;ו;ת;ד;ס;י;(22, 1, 12, 53, 541)
(22, 1, 13, 35, 580);ה;מ;ל;ל;כ;ו;ת;א;ל;ל;מ;ע;ל;א;ט;י;ב;ה;ו;ע;(22, 1, 13, 16, 561)
(22, 1, 13, 55, 600);ר;ע;ל;ב;ב;ש;י;ר;ח;ת;ם;י;ד;ג;ו;ב;ט;י;ב;ת;(22, 1, 13, 36, 581)
(22, 1, 14, 10, 620);ד;כ;ם;ד;א;ה;ש;ע;ת;ו;ו;נ;מ;מ;ק;י;ד;צ;ע;ש;(22, 1, 13, 56, 601)
(22, 1, 15, 4, 640);ב;ה;ל;כ;ו;ב;ל;ש;מ;א;ל;ש;מ;ר;כ;ם;י;ה;י;ג;(22, 1, 14, 11, 621)
(22, 1, 15, 24, 660);א;י;ו;ו;מ;ר;ח;ב;ו;ה;ר;ג;י;ה;ל;ע;ה;ה;כ;ח;(22, 1, 15, 5, 641)
(22, 1, 15, 44, 680);ו;ח;מ;ש;י;ן;כ;ל;ע;ו;ת;ר;מ;כ;מ;ב;ו;ה;פ;ס;(22, 1, 15, 25, 661)
(22, 1, 16, 16, 700);ק;י;ו;ו;מ;ר;ח;ל;ח;ב;ז;י;ן;כ;ל;ע;ל;י;ג;י;(22, 1, 15, 45, 681)
(22, 1, 16, 36, 720);ל;ח;ן;מ;ש;ה;מ;ה;ב;י;כ;ו;ת;ר;מ;כ;מ;ל;ר;ט;(22, 1, 16, 17, 701)
(22, 1, 17, 8, 740);י;ר;י;ן;כ;ל;ע;ה;ה;א;ר;ב;ו;ל;כ;א;מ;ו;ו;ק;(22, 1, 16, 37, 721)
(22, 1, 17, 28, 760);א;ל;ם;י;ו;ג;ג;ר;ה;ל;ד;י;מ;ת;ו;ו;מ;ר;ח;ק;(22, 1, 17, 9, 741)
(22, 2, 1, 15, 780);א;ו;ה;ד;מ;ע;א;י;ת;ר;מ;ש;מ;ל;ע;ל;ו;מ;ח;י;(22, 1, 17, 29, 761)
(22, 2, 1, 35, 800);ו;א;ר;ל;ה;פ;צ;א;ו;ר;ו;צ;מ;ל;ע;ה;ב;צ;י;ת;(22, 2, 1, 16, 781)
(22, 2, 1, 55, 820);ו;ת;ל;ע;ב;י;ש;א;ה;מ;ו;י;ב;ר;ב;ד;י;ה;מ;ת;(22, 2, 1, 36, 801)
(22, 2, 2, 16, 840);כ;ר;מ;א;י;ו;ה;ו;ה;י;י;נ;נ;ע;י;ו;י;ת;ח;כ;(22, 2, 1, 56, 821)
(22, 2, 2, 36, 860);ע;מ;ל;ת;ו;ח;ל;ה;ל;ע;ר;א;ב;ו;ן;ו;ז;ח;ב;ת;(22, 2, 2, 17, 841)
(22, 2, 3, 9, 880);ן;ו;ז;ח;ד;ו;ע;י;כ;ו;ב;א;ר;ו;ק;ץ;ו;ר;י;ן;(22, 2, 2, 37, 861)
(22, 2, 3, 29, 900);א;ב;ז;כ;י;א;ל;ו;ץ;ק;ל;ח;פ;י;ו;ד;ע;ו;מ;ל;(22, 2, 3, 10, 881)
